Date,District,Price_USD
05_2020,էրեբունի,59593.41463414634
05_2020,կենտրոն,170113.82071310602
05_2020,մալաթիա,57768.816581071165
05_2020,մալաթիա_սեբաստիա,64714.37142857143
05_2020,նոր_նորք,72360.0
05_2020,նորք,55970.00198490054
05_2020,շենգավիթ,54369.22020431328
05_2020,քանաքեռ,63847.67768636556
05_2020,քանաքեռ_զեյթուն,75742.78728606357
01_2020,աջափնյակ,58209.92970123023
01_2020,ավան,72187.60045924225
01_2020,արաբկիր,101670.86489996247
01_2020,դավթաշեն,88440.5031319014
01_2020,էրեբունի,55739.77793522763
01_2020,կենտրոն,164166.14036505765
01_2020,մալաթիա,55416.68392070485
01_2020,մալաթիա_սեբաստիա,61197.73462783171
01_2020,նոր_նորք,67854.91071428571
01_2020,նորք,51434.095989936395
01_2020,շենգավիթ,51925.190573770495
01_2020,քանաքեռ,62870.0139470014
01_2020,քանաքեռ_զեյթուն,75486.46080760095
09_2020,աջափնյակ,61145.72888015717
09_2020,ավան,78824.68877224841
09_2020,արաբկիր,105105.76728686434
09_2020,դավթաշեն,89929.96619331343
09_2020,էրեբունի,60996.89207048458
09_2020,կենտրոն,176828.86410407815
09_2020,մալաթիա,59358.91544117647
09_2020,մալաթիա_սեբաստիա,67315.0085106383
09_2020,նոր_նորք,70845.00729927007
09_2020,նորք,54275.707682291664
09_2020,շենգավիթ,56658.045785472714
09_2020,քանաքեռ,68020.41549295775
09_2020,քանաքեռ_զեյթուն,79213.18181818182
06_2020,աջափնյակ,61831.40878701051
06_2020,ավան,76704.59094453398
06_2020,արաբկիր,106355.67109528912
06_2020,դավթաշեն,91256.62734082396
06_2020,էրեբունի,60376.28117913832
06_2020,կենտրոն,178316.54170656332
06_2020,մալաթիա,59176.63118580766
06_2020,մալաթիա_սեբաստիա,67270.50214592274
06_2020,նոր_նորք,71907.25126475548
06_2020,նորք,55293.70538611292
06_2020,շենգավիթ,54999.759868407455
06_2020,քանաքեռ,64027.09868421053
06_2020,քանաքեռ_զեյթուն,78312.89592760181
06_2022,աջափնյակ,70413.3490752269
06_2022,ավան,88991.67822487757
06_2022,արաբկիր,118204.18479313291
06_2022,դավթաշեն,105916.34286810296
06_2022,էրեբունի,68738.69154658534
06_2022,կենտրոն,203922.4218691442
06_2022,մալաթիա,68867.88675748964
06_2022,մալաթիա_սեբաստիա,70893.9710982659
06_2022,մարաշ,99500.0
06_2022,նոր_նորք,80804.68208092486
06_2022,նորք,65148.92327891393
06_2022,շենգավիթ,64652.40240641711
06_2022,քանաքեռ,76211.10784313726
06_2022,քանաքեռ_զեյթուն,98567.61904761905
03_2020,աջափնյակ,59353.17413492633
03_2020,ավան,71021.88820008023
03_2020,արաբկիր,104939.59160367247
03_2020,դավթաշեն,92184.79839550851
03_2020,էրեբունի,58602.43309002433
03_2020,կենտրոն,171123.75382300513
03_2020,մալաթիա,57800.08419478037
03_2020,մալաթիա_սեբաստիա,64822.26277372263
03_2020,նոր_նորք,71084.72998137803
03_2020,նորք,55662.9647606383
03_2020,շենգավիթ,53326.993968042654
03_2020,քանաքեռ,62042.81796229318
03_2020,քանաքեռ_զեյթուն,75961.61616161616
05_2022,աջափնյակ,68760.54794520549
05_2022,ավան,87483.42779899712
05_2022,արաբկիր,116428.20274488999
05_2022,դավթաշեն,103476.32236532358
05_2022,էրեբունի,65594.37158807991
05_2022,կենտրոն,196405.5912708846
05_2022,մալաթիա,66588.33921447354
05_2022,մալաթիա_սեբաստիա,67918.30113636363
05_2022,մարաշ,87000.0
05_2022,նոր_նորք,78159.22222222222
05_2022,նորք,63432.65539876073
05_2022,շենգավիթ,65651.31630755117
05_2022,քանաքեռ,71122.56420233463
05_2022,քանաքեռ_զեյթուն,97886.85446009389
05_2021,աջափնյակ,72030.45454545454
05_2021,ավան,90925.3164556962
05_2021,արաբկիր,114688.07471264368
05_2021,դավթաշեն,106235.47671840354
05_2021,էրեբունի,70046.875
05_2021,կենտրոն,188404.17021276595
05_2021,մալաթիա_սեբաստիա,68162.19708029197
05_2021,նոր_նորք,71468.21243523316
05_2021,շենգավիթ,69110.30263157895
05_2021,քանաքեռ_զեյթուն,85367.56329113925
08_2022,աջափնյակ,76887.71812541755
08_2022,ավան,89829.58825160285
08_2022,արաբկիր,125954.58441904781
08_2022,դավթաշեն,111062.54131176107
08_2022,էրեբունի,70869.90745859113
08_2022,կենտրոն,220760.06316422412
08_2022,մալաթիա,72047.27038797634
08_2022,մալաթիա_սեբաստիա,83244.90384615384
08_2022,նոր_նորք,111049.63716814159
08_2022,նորք,75595.99025850416
08_2022,շենգավիթ,69355.66997583081
08_2022,քանաքեռ,81627.50679856302
08_2022,քանաքեռ_զեյթուն,121773.61870503597
04_2022,աջափնյակ,68393.50081037277
04_2022,ավան,88405.58139534884
04_2022,արաբկիր,113188.0030331167
04_2022,դավթաշեն,101494.77444557694
04_2022,էրեբունի,65780.5
04_2022,կենտրոն,197697.437758228
04_2022,մալաթիա,64663.405008620895
04_2022,մալաթիա_սեբաստիա,67972.33888888889
04_2022,նոր_նորք,76981.6713091922
04_2022,նորք,57831.7625994695
04_2022,շենգավիթ,61779.60197368421
04_2022,քանաքեռ,69961.57205240175
04_2022,քանաքեռ_զեյթուն,94526.94174757281
10_2020,աջափնյակ,63453.81230529595
10_2020,ավան,77861.84835164835
10_2020,արաբկիր,110354.0312547878
10_2020,դավթաշեն,98469.2717872969
10_2020,էրեբունի,63546.98039215686
10_2020,կենտրոն,186080.11455916474
10_2020,մալաթիա,58765.334327772856
10_2020,մալաթիա_սեբաստիա,66733.71721311475
10_2020,նոր_նորք,71354.44444444444
10_2020,նորք,55407.83964557061
10_2020,շենգավիթ,55900.58526912181
10_2020,քանաքեռ,66578.75350701403
10_2020,քանաքեռ_զեյթուն,79170.87794432548
11_2021,աջափնյակ,67220.19826517967
11_2021,ավան,79519.5744680851
11_2021,արաբկիր,109566.94311712612
11_2021,դավթաշեն,98157.5293782029
11_2021,էրեբունի,65024.578610256634
11_2021,կենտրոն,184538.9453839496
11_2021,մալաթիա,59949.26230847571
11_2021,մալաթիա_սեբաստիա,69132.03535353535
11_2021,մարաշ,89000.0
11_2021,նոր_նորք,75090.63457330415
11_2021,նորք,57537.74535802443
11_2021,շենգավիթ,55880.133048773714
11_2021,քանաքեռ,63903.53003533569
11_2021,քանաքեռ_զեյթուն,86628.80184331797
10_2022,աջափնյակ,736.3668051712498
10_2022,ավան,836.0818056685397
10_2022,արաբկիր,1066.1436518306316
10_2022,դավթաշեն,867.8487935059404
10_2022,էրեբունի,746.3958822447729
10_2022,կենտրոն,1596.3420722857406
10_2022,մալաթիա,663.6940995429252
10_2022,մալաթիա_սեբաստիա,892.1111111111111
10_2022,մարաշ,1475.3614635585718
10_2022,նոր_նորք,1123.0
10_2022,նորք,676.3557725764672
10_2022,շենգավիթ,1027.5169569096977
10_2022,քանաքեռ,830.1182024890211
10_2022,քանաքեռ_զեյթուն,1027.8333333333333
12_2021,աջափնյակ,67616.53746770025
12_2021,ավան,80333.0985915493
12_2021,արաբկիր,108378.32814300884
12_2021,դավթաշեն,99516.64006024097
12_2021,էրեբունի,66034.56577598752
12_2021,կենտրոն,188470.71583292415
12_2021,մալաթիա,61201.82290562036
12_2021,մալաթիա_սեբաստիա,68588.07281553397
12_2021,մարաշ,110000.0
12_2021,նոր_նորք,75256.37554585152
12_2021,նորք,54213.46632996633
12_2021,շենգավիթ,59240.735738676805
12_2021,քանաքեռ,63661.50943396227
12_2021,քանաքեռ_զեյթուն,90195.8605664488
10_2021,աջափնյակ,67231.65846047255
10_2021,ավան,78776.63311039045
10_2021,արաբկիր,108232.12241021548
10_2021,դավթաշեն,97710.26520918321
10_2021,էրեբունի,64901.433691756276
10_2021,կենտրոն,183861.63575915346
10_2021,մալաթիա,59013.134851138355
10_2021,մալաթիա_սեբաստիա,69105.18905472636
10_2021,նոր_նորք,75234.26666666666
10_2021,նորք,57675.99335152722
10_2021,շենգավիթ,57028.08807521646
10_2021,քանաքեռ,65838.21656050955
10_2021,քանաքեռ_զեյթուն,86419.72705882353
09_2022,աջափնյակ,79258.69624075173
09_2022,ավան,94100.20114812249
09_2022,արաբկիր,133300.62211148432
09_2022,դավթաշեն,114848.78028525926
09_2022,էրեբունի,74863.87070454264
09_2022,կենտրոն,234637.75618676786
09_2022,մալաթիա,75214.53782081256
09_2022,մալաթիա_սեբաստիա,95870.24324324324
09_2022,մարաշ,135000.0
09_2022,նոր_նորք,110298.19811320755
09_2022,նորք,73809.19916334523
09_2022,շենգավիթ,71125.1258290047
09_2022,քանաքեռ,86605.38936239421
09_2022,քանաքեռ_զեյթուն,142057.81415929203
